Date,Pitcher,Pitcher Team,Opposing_Pitcher,Opposing Team,Game ID
3/30/2023,Zac Gallen,ARI,Julio Urías,LAD,45015-ARI-LAD
3/30/2023,Julio Urías,LAD,Zac Gallen,ARI,45015-ARI-LAD
3/30/2023,Patrick Corbin,WSN,Max Fried,ATL,45015-ATL-WSN
3/30/2023,Max Fried,ATL,Patrick Corbin,WSN,45015-ATL-WSN
3/30/2023,Kyle Gibson,BAL,Corey Kluber,BOS,45015-BAL-BOS
3/30/2023,Corey Kluber,BOS,Kyle Gibson,BAL,45015-BAL-BOS
3/30/2023,Corbin Burnes,MIL,Marcus Stroman,CHC,45015-CHC-MIL
3/30/2023,Marcus Stroman,CHC,Corbin Burnes,MIL,45015-CHC-MIL
3/30/2023,Dylan Cease,CHW,Framber Valdez,HOU,45015-CHW-HOU
3/30/2023,Framber Valdez,HOU,Dylan Cease,CHW,45015-CHW-HOU
3/30/2023,Hunter Greene,CIN,Mitch Keller,PIT,45015-CIN-PIT
3/30/2023,Mitch Keller,PIT,Hunter Greene,CIN,45015-CIN-PIT
3/30/2023,Shane Bieber,CLE,Luis Castillo,SEA,45015-CLE-SEA
3/30/2023,Luis Castillo,SEA,Shane Bieber,CLE,45015-CLE-SEA
3/30/2023,Germán Márquez,COL,Blake Snell,SDP,45015-COL-SDP
3/30/2023,Blake Snell,SDP,Germán Márquez,COL,45015-COL-SDP
3/30/2023,Shane McClanahan,TBR,Eduardo Rodríguez,DET,45015-DET-TBR
3/30/2023,Eduardo Rodríguez,DET,Shane McClanahan,TBR,45015-DET-TBR
3/30/2023,Zack Greinke,KCR,Pablo López,MIN,45015-KCR-MIN
3/30/2023,Pablo López,MIN,Zack Greinke,KCR,45015-KCR-MIN
3/30/2023,Kyle Muller,OAK,Shohei Ohtani,LAA,45015-LAA-OAK
3/30/2023,Shohei Ohtani,LAA,Kyle Muller,OAK,45015-LAA-OAK
3/30/2023,Sandy Alcántara,MIA,Max Scherzer,NYM,45015-MIA-NYM
3/30/2023,Max Scherzer,NYM,Sandy Alcántara,MIA,45015-MIA-NYM
3/30/2023,Gerrit Cole,NYY,Logan Webb,SFG,45015-NYY-SFG
3/30/2023,Logan Webb,SFG,Gerrit Cole,NYY,45015-NYY-SFG
3/30/2023,Jacob deGrom,TEX,Aaron Nola,PHI,45015-PHI-TEX
3/30/2023,Aaron Nola,PHI,Jacob deGrom,TEX,45015-PHI-TEX
3/30/2023,Alek Manoah,TOR,Miles Mikolas,STL,45015-STL-TOR
3/30/2023,Miles Mikolas,STL,Alek Manoah,TOR,45015-STL-TOR
3/31/2023,Merrill Kelly,ARI,Dustin May,LAD,45016-ARI-LAD
3/31/2023,Dustin May,LAD,Merrill Kelly,ARI,45016-ARI-LAD
3/31/2023,Cristian Javier,HOU,Lance Lynn,CHW,45016-CHW-HOU
3/31/2023,Lance Lynn,CHW,Cristian Javier,HOU,45016-CHW-HOU
3/31/2023,Hunter Gaddis,CLE,Robbie Ray,SEA,45016-CLE-SEA
3/31/2023,Robbie Ray,SEA,Hunter Gaddis,CLE,45016-CLE-SEA
3/31/2023,Kyle Freeland,COL,Nick Martinez,SDP,45016-COL-SDP
3/31/2023,Nick Martinez,SDP,Kyle Freeland,COL,45016-COL-SDP
3/31/2023,Jesús Luzardo,MIA,David Peterson,NYM,45016-MIA-NYM
3/31/2023,David Peterson,NYM,Jesús Luzardo,MIA,45016-MIA-NYM
4/1/2023,Madison Bumgarner,ARI,Clayton Kershaw,LAD,45017-ARI-LAD
4/1/2023,Clayton Kershaw,LAD,Madison Bumgarner,ARI,45017-ARI-LAD
4/1/2023,Josiah Gray,WSN,Spencer Strider,ATL,45017-ATL-WSN
4/1/2023,Spencer Strider,ATL,Josiah Gray,WSN,45017-ATL-WSN
4/1/2023,Dean Kremer,BAL,Chris Sale,BOS,45017-BAL-BOS
4/1/2023,Chris Sale,BOS,Dean Kremer,BAL,45017-BAL-BOS
4/1/2023,Justin Steele,CHC,Brandon Woodruff,MIL,45017-CHC-MIL
4/1/2023,Brandon Woodruff,MIL,Justin Steele,CHC,45017-CHC-MIL
4/1/2023,Lucas Giolito,CHW,José Urquidy,HOU,45017-CHW-HOU
4/1/2023,José Urquidy,HOU,Lucas Giolito,CHW,45017-CHW-HOU
4/1/2023,Rich Hill,PIT,Nick Lodolo,CIN,45017-CIN-PIT
4/1/2023,Nick Lodolo,CIN,Rich Hill,PIT,45017-CIN-PIT
4/1/2023,Aaron Civale,CLE,Logan Gilbert,SEA,45017-CLE-SEA
4/1/2023,Logan Gilbert,SEA,Aaron Civale,CLE,45017-CLE-SEA
4/1/2023,José Ureña,COL,Michael Wacha,SDP,45017-COL-SDP
4/1/2023,Michael Wacha,SDP,José Ureña,COL,45017-COL-SDP
4/1/2023,Zach Eflin,TBR,Spencer Turnbull,DET,45017-DET-TBR
4/1/2023,Spencer Turnbull,DET,Zach Eflin,TBR,45017-DET-TBR
4/1/2023,Sonny Gray,MIN,Jordan Lyles,KCR,45017-KCR-MIN
4/1/2023,Jordan Lyles,KCR,Sonny Gray,MIN,45017-KCR-MIN
4/1/2023,Shintaro Fujinami,OAK,Patrick Sandoval,LAA,45017-LAA-OAK
4/1/2023,Patrick Sandoval,LAA,Shintaro Fujinami,OAK,45017-LAA-OAK
4/1/2023,Edward Cabrera,MIA,Tylor Megill,NYM,45017-MIA-NYM
4/1/2023,Tylor Megill,NYM,Edward Cabrera,MIA,45017-MIA-NYM
4/1/2023,Alex Cobb,SFG,Clarke Schmidt,NYY,45017-NYY-SFG
4/1/2023,Clarke Schmidt,NYY,Alex Cobb,SFG,45017-NYY-SFG
4/1/2023,Nathan Eovaldi,TEX,Zack Wheeler,PHI,45017-PHI-TEX
4/1/2023,Zack Wheeler,PHI,Nathan Eovaldi,TEX,45017-PHI-TEX
4/1/2023,Jack Flaherty,STL,Kevin Gausman,TOR,45017-STL-TOR
4/1/2023,Kevin Gausman,TOR,Jack Flaherty,STL,45017-STL-TOR
4/2/2023,Zach Davies,ARI,Noah Syndergaard,LAD,45018-ARI-LAD
4/2/2023,Noah Syndergaard,LAD,Zach Davies,ARI,45018-ARI-LAD
4/2/2023,MacKenzie Gore,WSN,Jared Shuster,ATL,45018-ATL-WSN
4/2/2023,Jared Shuster,ATL,MacKenzie Gore,WSN,45018-ATL-WSN
4/2/2023,Tanner Houck,BOS,Cole Irvin,BAL,45018-BAL-BOS
4/2/2023,Cole Irvin,BAL,Tanner Houck,BOS,45018-BAL-BOS
4/2/2023,Eric Lauer,MIL,Jameson Taillon,CHC,45018-CHC-MIL
4/2/2023,Jameson Taillon,CHC,Eric Lauer,MIL,45018-CHC-MIL
4/2/2023,Mike Clevinger,CHW,Luis Garcia Jr.,HOU,45018-CHW-HOU
4/2/2023,Luis Garcia Jr.,HOU,Mike Clevinger,CHW,45018-CHW-HOU
4/2/2023,Graham Ashcraft,CIN,Vince Velasquez,PIT,45018-CIN-PIT
4/2/2023,Vince Velasquez,PIT,Graham Ashcraft,CIN,45018-CIN-PIT
4/2/2023,Marco Gonzales,SEA,Cal Quantrill,CLE,45018-CLE-SEA
4/2/2023,Cal Quantrill,CLE,Marco Gonzales,SEA,45018-CLE-SEA
4/2/2023,Austin Gomber,COL,Seth Lugo,SDP,45018-COL-SDP
4/2/2023,Seth Lugo,SDP,Austin Gomber,COL,45018-COL-SDP
4/2/2023,Jeffrey Springs,TBR,Joey Wentz,DET,45018-DET-TBR
4/2/2023,Joey Wentz,DET,Jeffrey Springs,TBR,45018-DET-TBR
4/2/2023,Brad Keller,KCR,Joe Ryan,MIN,45018-KCR-MIN
4/2/2023,Joe Ryan,MIN,Brad Keller,KCR,45018-KCR-MIN
