Date,Pitcher,Pitcher Team,Opposing_Pitcher,Opposing Team,Game ID
2023-03-30,Zac Gallen,ARI,Julio Urías,LAD,45015-ARI-LAD
2023-03-30,Patrick Corbin,WSN,Max Fried,ATL,45015-ATL-WSN
2023-03-30,Kyle Gibson,BAL,Corey Kluber,BOS,45015-BAL-BOS
2023-03-30,Corbin Burnes,MIL,Marcus Stroman,CHC,45015-CHC-MIL
2023-03-30,Dylan Cease,CHW,Framber Valdez,HOU,45015-CHW-HOU
2023-03-30,Hunter Greene,CIN,Mitch Keller,PIT,45015-CIN-PIT
2023-03-30,Shane Bieber,CLE,Luis Castillo,SEA,45015-CLE-SEA
2023-03-30,Germán Márquez,COL,Blake Snell,SDP,45015-COL-SDP
2023-03-30,Shane McClanahan,TBR,Eduardo Rodríguez,DET,45015-DET-TBR
2023-03-30,Zack Greinke,KCR,Pablo López,MIN,45015-KCR-MIN
2023-03-30,Kyle Muller,OAK,Shohei Ohtani,LAA,45015-LAA-OAK
2023-03-30,Sandy Alcántara,MIA,Max Scherzer,NYM,45015-MIA-NYM
2023-03-30,Gerrit Cole,NYY,Logan Webb,SFG,45015-NYY-SFG
2023-03-30,Jacob deGrom,TEX,Aaron Nola,PHI,45015-PHI-TEX
2023-03-30,Alek Manoah,TOR,Miles Mikolas,STL,45015-STL-TOR
2023-03-31,Merrill Kelly,ARI,Dustin May,LAD,45016-ARI-LAD
2023-03-31,Cristian Javier,HOU,Lance Lynn,CHW,45016-CHW-HOU
2023-03-31,Hunter Gaddis,CLE,Robbie Ray,SEA,45016-CLE-SEA
2023-03-31,Kyle Freeland,COL,Nick Martinez,SDP,45016-COL-SDP
2023-03-31,Jesús Luzardo,MIA,David Peterson,NYM,45016-MIA-NYM
2023-04-01,Madison Bumgarner,ARI,Clayton Kershaw,LAD,45017-ARI-LAD
2023-04-01,Josiah Gray,WSN,Spencer Strider,ATL,45017-ATL-WSN
2023-04-01,Dean Kremer,BAL,Chris Sale,BOS,45017-BAL-BOS
2023-04-01,Justin Steele,CHC,Brandon Woodruff,MIL,45017-CHC-MIL
2023-04-01,Lucas Giolito,CHW,José Urquidy,HOU,45017-CHW-HOU
2023-04-01,Rich Hill,PIT,Nick Lodolo,CIN,45017-CIN-PIT
2023-04-01,Aaron Civale,CLE,Logan Gilbert,SEA,45017-CLE-SEA
2023-04-01,José Ureña,COL,Michael Wacha,SDP,45017-COL-SDP
2023-04-01,Zach Eflin,TBR,Spencer Turnbull,DET,45017-DET-TBR
2023-04-01,Sonny Gray,MIN,Jordan Lyles,KCR,45017-KCR-MIN
2023-04-01,Shintaro Fujinami,OAK,Patrick Sandoval,LAA,45017-LAA-OAK
2023-04-01,Edward Cabrera,MIA,Tylor Megill,NYM,45017-MIA-NYM
2023-04-01,Alex Cobb,SFG,Clarke Schmidt,NYY,45017-NYY-SFG
2023-04-01,Nathan Eovaldi,TEX,Zack Wheeler,PHI,45017-PHI-TEX
2023-04-01,Jack Flaherty,STL,Kevin Gausman,TOR,45017-STL-TOR
2023-04-02,Zach Davies,ARI,Noah Syndergaard,LAD,45018-ARI-LAD
2023-04-02,MacKenzie Gore,WSN,Jared Shuster,ATL,45018-ATL-WSN
2023-04-02,Tanner Houck,BOS,Cole Irvin,BAL,45018-BAL-BOS
2023-04-02,Eric Lauer,MIL,Jameson Taillon,CHC,45018-CHC-MIL
2023-04-02,Mike Clevinger,CHW,Luis Garcia Jr.,HOU,45018-CHW-HOU
2023-04-02,Graham Ashcraft,CIN,Vince Velasquez,PIT,45018-CIN-PIT
2023-04-02,Marco Gonzales,SEA,Cal Quantrill,CLE,45018-CLE-SEA
2023-04-02,Austin Gomber,COL,Seth Lugo,SDP,45018-COL-SDP
2023-04-02,Jeffrey Springs,TBR,Joey Wentz,DET,45018-DET-TBR
2023-04-02,Brad Keller,KCR,Joe Ryan,MIN,45018-KCR-MIN
2023-04-02,Tyler Anderson,LAA,Ken Waldichuk,OAK,45018-LAA-OAK
2023-04-02,Trevor Rogers,MIA,Kodai Senga,NYM,45018-MIA-NYM
2023-04-02,Jhony Brito,NYY,Ross Stripling,SFG,45018-NYY-SFG
2023-04-02,Bailey Falter,PHI,Martín Pérez,TEX,45018-PHI-TEX
2023-04-02,Chris Bassitt,TOR,Jordan Montgomery,STL,45018-STL-TOR
2023-04-03,Ryne Nelson,ARI,Ryan Weathers,SDP,45019-ARI-SDP
2023-04-03,Charlie Morton,ATL,Jake Woodford,STL,45019-ATL-STL
2023-04-03,Kyle Bradish,BAL,Jon Gray,TEX,45019-BAL-TEX
2023-04-03,Kutter Crawford,BOS,Johan Oviedo,PIT,45019-BOS-PIT
2023-04-03,Connor Overton,CIN,Drew Smyly,CHC,45019-CHC-CIN
2023-04-03,Anthony DeSclafani,SFG,Michael Kopech,CHW,45019-CHW-SFG
2023-04-03,James Kaprielian,OAK,Zach Plesac,CLE,45019-CLE-OAK
2023-04-03,Ryan Feltner,COL,Michael Grove,LAD,45019-COL-LAD
2023-04-03,Matthew Boyd,DET,Hunter Brown,HOU,45019-DET-HOU
2023-04-03,José Berríos,TOR,Brady Singer,KCR,45019-KCR-TOR
2023-04-03,Reid Detmers,LAA,George Kirby,SEA,45019-LAA-SEA
2023-04-03,Johnny Cueto,MIA,Tyler Mahle,MIN,45019-MIA-MIN
2023-04-03,Carlos Carrasco,NYM,Freddy Peralta,MIL,45019-MIL-NYM
2023-04-03,Nestor Cortes,NYY,Taijuan Walker,PHI,45019-NYY-PHI
2023-04-03,Drew Rasmussen,TBR,Trevor Williams,WSN,45019-TBR-WSN
2023-04-04,Yu Darvish,SDP,Zac Gallen,ARI,45020-ARI-SDP
2023-04-04,Dylan Dodd,ATL,Steven Matz,STL,45020-ATL-STL
2023-04-04,Kyle Gibson,BAL,Andrew Heaney,TEX,45020-BAL-TEX
2023-04-04,Roansy Contreras,PIT,Nick Pivetta,BOS,45020-BOS-PIT
2023-04-04,Luis Cessa,CIN,Hayden Wesneski,CHC,45020-CHC-CIN
2023-04-04,Shane Bieber,CLE,JP Sears,OAK,45020-CLE-OAK
2023-04-04,Germán Márquez,COL,Julio Urías,LAD,45020-COL-LAD
2023-04-04,Matt Manning,DET,Framber Valdez,HOU,45020-DET-HOU
2023-04-04,Kris Bubic,KCR,Yusei Kikuchi,TOR,45020-KCR-TOR
2023-04-04,Luis Castillo,SEA,José Suarez,LAA,45020-LAA-SEA
2023-04-04,Sandy Alcántara,MIA,Kenta Maeda,MIN,45020-MIA-MIN
2023-04-04,Wade Miley,MIL,Max Scherzer,NYM,45020-MIL-NYM
2023-04-04,Domingo Germán,NYY,Matt Strahm,PHI,45020-NYY-PHI
2023-04-04,Josh Fleming,TBR,Chad Kuhl,WSN,45020-TBR-WSN
2023-04-05,Bryce Elder,ATL,Miles Mikolas,STL,45021-ATL-STL
2023-04-05,Jacob deGrom,TEX,Grayson Rodriguez,BAL,45021-BAL-TEX
2023-04-05,Mitch Keller,PIT,Corey Kluber,BOS,45021-BOS-PIT
2023-04-05,Dylan Cease,CHW,Logan Webb,SFG,45021-CHW-SFG
2023-04-05,Hunter Gaddis,CLE,Kyle Muller,OAK,45021-CLE-OAK
2023-04-05,Cristian Javier,HOU,Eduardo Rodríguez,DET,45021-DET-HOU
2023-04-05,Zack Greinke,KCR,Alek Manoah,TOR,45021-KCR-TOR
2023-04-05,Chris Flexen,SEA,Shohei Ohtani,LAA,45021-LAA-SEA
2023-04-05,Pablo López,MIN,Jesús Luzardo,MIA,45021-MIA-MIN
2023-04-05,Corbin Burnes,MIL,David Peterson,NYM,45021-MIL-NYM
2023-04-05,Gerrit Cole,NYY,Aaron Nola,PHI,45021-NYY-PHI
2023-04-05,Patrick Corbin,WSN,Shane McClanahan,TBR,45021-TBR-WSN
2023-04-06,Merrill Kelly,ARI,Dustin May,LAD,45022-ARI-LAD
2023-04-06,Blake Snell,SDP,Spencer Strider,ATL,45022-ATL-SDP
2023-04-06,Chris Sale,BOS,Spencer Turnbull,DET,45022-BOS-DET
2023-04-06,Lance Lynn,CHW,Alex Wood,SFG,45022-CHW-SFG
2023-04-06,Kyle Freeland,COL,Josiah Gray,WSN,45022-COL-WSN
2023-04-06,Kevin Gausman,TOR,Jordan Lyles,KCR,45022-KCR-TOR
2023-04-07,Madison Bumgarner,ARI,Clayton Kershaw,LAD,45023-ARI-LAD
2023-04-07,Nick Martinez,SDP,Jared Shuster,ATL,45023-ATL-SDP
2023-04-07,Dean Kremer,BAL,Clarke Schmidt,NYY,45023-BAL-NYY
2023-04-07,Nathan Eovaldi,TEX,Marcus Stroman,CHC,45023-CHC-TEX
2023-04-07,Lucas Giolito,CHW,Rich Hill,PIT,45023-CHW-PIT
2023-04-07,Hunter Greene,CIN,Zack Wheeler,PHI,45023-CIN-PHI
2023-04-07,Aaron Civale,CLE,Logan Gilbert,SEA,45023-CLE-SEA
2023-04-07,MacKenzie Gore,WSN,José Ureña,COL,45023-COL-WSN
2023-04-07,Sonny Gray,MIN,José Urquidy,HOU,45023-HOU-MIN
2023-04-07,Alex Cobb,SFG,Brad Keller,KCR,45023-KCR-SFG
2023-04-07,Chris Bassitt,TOR,Patrick Sandoval,LAA,45023-LAA-TOR
2023-04-07,Edward Cabrera,MIA,Tylor Megill,NYM,45023-MIA-NYM
2023-04-07,Jack Flaherty,STL,Brandon Woodruff,MIL,45023-MIL-STL
2023-04-07,Zach Eflin,TBR,Ken Waldichuk,OAK,45023-OAK-TBR
2023-04-08,Zach Davies,ARI,Noah Syndergaard,LAD,45024-ARI-LAD
2023-04-08,Charlie Morton,ATL,Michael Wacha,SDP,45024-ATL-SDP
2023-04-08,Jhony Brito,NYY,Cole Irvin,BAL,45024-BAL-NYY
2023-04-08,Tanner Houck,BOS,Joey Wentz,DET,45024-BOS-DET
2023-04-08,Martín Pérez,TEX,Justin Steele,CHC,45024-CHC-TEX
2023-04-08,Mike Clevinger,CHW,Vince Velasquez,PIT,45024-CHW-PIT
2023-04-08,Bailey Falter,PHI,Nick Lodolo,CIN,45024-CIN-PHI
2023-04-08,Marco Gonzales,SEA,Cal Quantrill,CLE,45024-CLE-SEA
2023-04-08,Austin Gomber,COL,Trevor Williams,WSN,45024-COL-WSN
2023-04-08,Luis Garcia Jr.,HOU,Joe Ryan,MIN,45024-HOU-MIN
2023-04-08,Sean Manaea,SFG,Brady Singer,KCR,45024-KCR-SFG
2023-04-08,Tyler Anderson,LAA,José Berríos,TOR,45024-LAA-TOR
2023-04-08,Trevor Rogers,MIA,Kodai Senga,NYM,45024-MIA-NYM
2023-04-08,Eric Lauer,MIL,Jordan Montgomery,STL,45024-MIL-STL
2023-04-08,Shintaro Fujinami,OAK,Jeffrey Springs,TBR,45024-OAK-TBR
2023-04-09,Michael Grove,LAD,Ryne Nelson,ARI,45025-ARI-LAD
2023-04-09,Dylan Dodd,ATL,Seth Lugo,SDP,45025-ATL-SDP
2023-04-09,Nestor Cortes,NYY,Tyler Wells,BAL,45025-BAL-NYY
2023-04-09,Matthew Boyd,DET,Kutter Crawford,BOS,45025-BOS-DET
2023-04-09,Jon Gray,TEX,Jameson Taillon,CHC,45025-CHC-TEX
2023-04-09,Michael Kopech,CHW,Johan Oviedo,PIT,45025-CHW-PIT
2023-04-09,Connor Overton,CIN,Taijuan Walker,PHI,45025-CIN-PHI
2023-04-09,George Kirby,SEA,Zach Plesac,CLE,45025-CLE-SEA
